0,1.000000000000000056e-01,6.510094862711472530e+00
0,2.000000000000000111e-01,3.941210897022993542e+00
0,2.999999999999999889e-01,3.049955242050324866e+00
0,4.000000000000000222e-01,2.277306787923071507e+00
0,5.000000000000000000e-01,2.029877748920741354e+00
0,5.999999999999999778e-01,1.864941205065851371e+00
0,6.999999999999999556e-01,1.626502276233670496e+00
0,8.000000000000000444e-01,1.395421079895539540e+00
0,9.000000000000000222e-01,1.171301032073366333e+00
0,1.000000000000000000e+00,1.000000000000000000e+00
0.2,1.000000000000000056e-01,4.547731207689134969e+00
0.2,2.000000000000000111e-01,7.050349179551627543e+00
0.2,2.999999999999999889e-01,4.815514903030400973e+00
0.2,4.000000000000000222e-01,3.429829449376178729e+00
0.2,5.000000000000000000e-01,3.412324383487389312e+00
0.2,5.999999999999999778e-01,3.212256781058699495e+00
0.2,6.999999999999999556e-01,2.964955650089159178e+00
0.2,8.000000000000000444e-01,2.506958232331366165e+00
0.2,9.000000000000000222e-01,2.216230714633756982e+00
0.2,1.000000000000000000e+00,1.000000000000000000e+00
0.4,1.000000000000000056e-01,1.997701115748063971e+00
0.4,2.000000000000000111e-01,2.164068863087400096e+00
0.4,2.999999999999999889e-01,2.665063158564570767e+00
0.4,4.000000000000000222e-01,3.188085387191896825e+00
0.4,5.000000000000000000e-01,4.794851417494427004e+00
0.4,5.999999999999999778e-01,4.082121095392875709e+00
0.4,6.999999999999999556e-01,1.968599085686214334e+00
0.4,8.000000000000000444e-01,1.644443819943444351e+00
0.4,9.000000000000000222e-01,1.291418763724486940e+00
0.4,1.000000000000000000e+00,1.000000000000000000e+00
0.6,1.000000000000000056e-01,1.235735871318168533e+00
0.6,2.000000000000000111e-01,1.600696593345214191e+00
0.6,2.999999999999999889e-01,1.843793576077683793e+00
0.6,4.000000000000000222e-01,3.297922473074460292e+00
0.6,5.000000000000000000e-01,3.329637871238718017e+00
0.6,5.999999999999999778e-01,1.876682452443839688e+00
0.6,6.999999999999999556e-01,1.348442135181157076e+00
0.6,8.000000000000000444e-01,1.127041572181267215e+00
0.6,9.000000000000000222e-01,1.087107226205225485e+00
0.6,1.000000000000000000e+00,1.000000000000000000e+00
0.8,1.000000000000000056e-01,1.343383697993305148e+00
0.8,2.000000000000000111e-01,1.508016269845261492e+00
0.8,2.999999999999999889e-01,1.971686771207004529e+00
0.8,4.000000000000000222e-01,1.303789171787031798e+00
0.8,5.000000000000000000e-01,9.264702958964861068e-01
0.8,5.999999999999999778e-01,8.595641933092340592e-01
0.8,6.999999999999999556e-01,8.563611841624111376e-01
0.8,8.000000000000000444e-01,8.966801632534519007e-01
0.8,9.000000000000000222e-01,9.912626307901425404e-01
0.8,1.000000000000000000e+00,1.000000000000000000e+00